id,diet_type,protein,carbs,fat
,paleo,34.02,119.1,137.32
,paleo,110.93,20.28,53.53
,paleo,110.13,12.03,50.63
,paleo,66.61,142.18,186.51
,paleo,89.94,10.84,58.45
,paleo,28.24,153.01,34.26
,paleo,15.14,44.77,303.62
,paleo,29.87,352.58,92.19
,paleo,17.09,98.33,27.65
,paleo,44.35,370.33,265.2
,paleo,73.61,215.65,194.58
,paleo,146.06,23.64,205.89
,paleo,398.01,82.5,282.32
,paleo,34.22,27.58,82.33
,paleo,145.56,62.05,169.76
,paleo,37.62,65.86,83.96
,paleo,14.02,89.14,100.92
,paleo,101.36,118.91,252.23
,paleo,38.48,518.49,227.16
,paleo,24.43,22.43,8.06
,paleo,29.56,52.43,291.93
,paleo,38.77,126.1,64.78
,paleo,13.65,68.33,92.25
,paleo,22.12,875.89,54.93
,paleo,92.22,286.7,321.2
,paleo,5.04,227,1.45
,paleo,166.91,3.84,72.13
,paleo,60.03,135.78,188.85
,paleo,25.2,63.62,10.39
,paleo,63.04,161.99,13.34
,paleo,6.74,27.28,63.62
,paleo,44.95,39.22,6.89
,paleo,190.89,158.68,234.05
,paleo,4.74,12.19,14.75
,paleo,112.36,32.53,118.16
,paleo,3.57,68.92,11.95
,paleo,19.37,14.12,98.57
,paleo,23.75,84.18,191.43
,paleo,0,150.22,81
,paleo,130.64,371.78,327.27
,paleo,9.8,75.41,56.01
,paleo,16.02,205.34,102.76
,paleo,125.01,32.77,183.92
,paleo,12.24,9.38,23.7
,paleo,54.23,233.84,97.63
,paleo,14.04,9.69,2.72
,paleo,78.6,2.96,90.8
,paleo,9.15,249.27,59.68
,paleo,71.98,200.17,163.98
,paleo,4.65,114.17,36.32
,paleo,38.18,20.35,40.72
,paleo,32.47,235.85,91.26
,paleo,14.22,74.17,20.04
,paleo,9.98,17.6,13.32
,paleo,44.9,261.29,181.17
,paleo,12.89,18.24,146.76
,paleo,104.42,60.32,234.14
,paleo,42.95,329.53,179.46
,paleo,97.33,60.44,97.57
,paleo,51.4,346.93,234.62
,paleo,27.29,65.95,103.42
,paleo,166.91,3.84,72.13
,paleo,105.58,58.76,166.85
,paleo,11.09,71.03,97.12
,paleo,203.1,149.26,333.28
,paleo,16.54,72.39,70.77
,paleo,92.49,93.22,123.26
,paleo,7.83,63.3,29.81
,paleo,40.09,48.85,114.16
,paleo,131.55,66.3,25.08
,paleo,9.79,47.87,9.76
,paleo,0.16,14.07,0.02
,paleo,206.94,104.79,47.42
,paleo,4.83,10.41,8.02
,paleo,13.16,144.64,32.84
,paleo,4.35,247.32,139.99
,paleo,8.4,38.01,232.91
,paleo,7.82,43.51,58.32
,paleo,9.62,19.66,26.36
,paleo,22.49,72.05,38.26
,paleo,57.87,253.19,103.32
,paleo,40.91,139.35,285.15
,paleo,39.27,40.29,71.93
,paleo,14.78,65.85,29.75
,paleo,17.17,67.44,76.21
,paleo,26.36,168.28,195.15
,paleo,66.76,64.6,63.44
,paleo,7.33,47.38,55.47
,paleo,2.83,27.14,1.66
,paleo,11.77,64.05,54.94
,paleo,5.61,46.24,58.25
,paleo,149.53,27.82,148.35
,paleo,275.18,230.52,62.63
,paleo,197.13,7.3,57.9
,paleo,11.97,127.01,58.87
,paleo,6.22,102.72,3.7
,paleo,78.68,305.74,389.01
,paleo,7.29,80.99,2.69
,paleo,2.9,27.16,27.62
,paleo,6.58,10.28,63.92
,paleo,31.76,91.98,24.72
,paleo,3.37,64.06,91.21
,paleo,298.21,35.88,30.01
,paleo,303.12,28.89,81.2
,paleo,6.74,59.88,50.54
,paleo,32.03,90.8,30.21
,paleo,31.86,22.28,34.51
,paleo,1.03,6.36,1.02
,paleo,2.84,55.05,9.82
,paleo,40.84,30.73,146.81
,paleo,187.46,30.42,23.91
,paleo,107.08,36.05,48.9
,paleo,7.52,47.99,0.81
,paleo,28.06,49.03,93.44
,paleo,28.38,154.13,79.81
,paleo,21.26,71.22,24.81
,paleo,84.54,210.42,89.07
,paleo,76.56,180.96,184.22
,paleo,26.79,128.02,165.51
,paleo,26.37,221.01,51.73
,paleo,69.91,125.55,157.81
,paleo,21.62,32.57,64.66
,paleo,53.13,323.37,439.18
,paleo,46.3,138.96,31.67
,paleo,7.16,119.64,1.93
,paleo,32.67,119.89,137.81
,paleo,30.5,91.77,123.75
,paleo,85.12,81.13,103.53
,paleo,32.1,84.86,183.44
,paleo,88.06,14.19,45.71
,paleo,22.75,175.37,133.44
,paleo,28.69,131.07,105.15
,paleo,114.89,46.78,169.8
,paleo,36.18,46.25,21.54
,paleo,11.95,28.45,2.59
,paleo,27.7,119.89,77.25
,paleo,261.59,29.86,239.02
,paleo,73.38,51.45,142.07
,paleo,27.22,68.05,50
,paleo,13.09,44.48,56.22
,paleo,350.05,176.53,240.25
,paleo,31.91,120.79,25.97
,paleo,26.86,101.27,108.62
,paleo,20.23,14.22,49.8
,paleo,24.4,231.54,88.47
,paleo,33.19,10.65,186.65
,paleo,11.43,121.83,117.55
,paleo,74.29,24.48,77.75
,paleo,105.01,36.89,38.16
,paleo,16.42,34.1,89.05
,paleo,44.1,215.12,100.34
,paleo,20.91,19.71,119.3
,paleo,163.02,148.03,236.07
,paleo,34.66,101.48,184.31
,paleo,92.92,30.26,8.57
,paleo,26.79,115.76,119.4
